"시도별(1)",2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.1/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.2/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.3/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2018.4/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2019.4/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.1/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.2/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.3/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2020.4/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.1/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.2/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4
"시도별(1)",계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,정신병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,정신병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,정신병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국,계,상급종합병원,종합병원,병원,요양병원,정신병원,의원,치과병원,치과의원,조산원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,약국
"계",92044,42,302,1471,1535,31177,232,17464,26,307,14154,15,241,1316,1906,21856,92431,42,304,1459,1544,31355,231,17550,24,308,14240,15,241,1317,1905,21896,92896,42,307,1462,1549,31564,231,17620,22,303,14296,15,241,1317,1905,22022,93184,42,311,1465,1560,31718,237,17668,21,307,14295,15,241,1317,1905,22082,93684,42,312,1470,1565,31957,241,17754,21,309,14322,15,241,1316,1905,22214,94182,42,312,1479,1571,32169,238,17850,20,319,14392,15,241,1317,1905,22312,94650,42,313,1487,1587,32383,239,17923,20,337,14423,15,241,1317,1905,22418,94865,42,314,1489,1577,32491,239,17963,19,352,14408,15,241,1317,1905,22493,95557,42,315,1495,1584,32665,238,18051,19,357,14414,15,241,1317,1902,22902,96033,42,320,1509,1584,32841,237,18127,19,382,14435,15,241,1317,1901,23063,96476,42,320,1518,1585,33008,236,18203,18,401,14441,15,241,1318,1902,23228,96742,42,319,1515,1582,33115,235,18261,18,410,14464,15,241,1317,1903,23305,97238,45,317,1453,1461,166,33354,232,18338,18,430,14485,15,243,1315,1904,23462,97763,45,319,1409,1466,226,33531,236,18459,18,440,14552,15,243,1315,1903,23586,98225,45,318,1404,1467,239,33777,238,18508,17,460,14588,15,243,1314,1903,23689,98479,45,319,1397,1464,250,33912,234,18589,16,479,14526,15,243,1314,1903,23773
"서울",22135,13,44,223,116,8215,65,4807,4,44,3609,0,25,6,0,4964,22196,13,44,223,113,8270,65,4801,4,45,3620,0,25,6,0,4967,22280,13,44,223,117,8317,64,4809,2,44,3623,0,25,8,0,4991,22345,13,45,223,119,8372,65,4807,3,42,3614,0,25,8,0,5009,22461,13,45,222,120,8427,67,4818,3,44,3617,0,25,8,0,5052,22586,13,44,225,119,8512,65,4822,2,47,3628,0,25,8,0,5076,22683,13,44,227,122,8572,65,4840,2,51,3635,0,25,8,0,5079,22739,13,44,228,124,8628,65,4836,3,53,3617,0,25,8,0,5095,22930,13,44,230,125,8706,65,4851,3,54,3625,0,25,8,0,5181,23025,13,44,230,126,8775,64,4858,3,56,3623,0,25,8,0,5200,23132,13,44,231,126,8836,63,4873,3,58,3625,0,25,8,0,5227,23207,13,43,230,127,8884,62,4879,3,60,3616,0,25,8,0,5257,23339,14,42,226,123,7,8965,60,4887,3,63,3617,0,25,8,0,5299,23456,14,42,223,124,12,9027,60,4900,3,66,3629,0,25,8,0,5323,23595,14,42,223,124,12,9135,61,4897,3,70,3641,0,25,8,0,5340,23661,14,42,222,124,12,9189,60,4902,3,73,3621,0,25,8,0,5366
"부산",6620,4,25,139,197,2304,23,1259,2,9,1122,0,16,11,5,1504,6647,4,25,139,193,2319,23,1266,2,9,1132,0,16,11,5,1503,6664,4,25,138,188,2330,23,1265,2,9,1133,0,16,11,5,1515,6679,4,25,137,187,2342,24,1265,2,9,1135,0,16,11,5,1517,6716,4,25,139,188,2363,25,1263,2,9,1129,0,16,11,5,1537,6741,4,25,140,189,2373,25,1269,2,9,1137,0,16,11,5,1536,6758,4,25,140,189,2392,25,1272,2,9,1138,0,16,11,5,1530,6752,4,25,142,190,2384,24,1273,2,10,1136,0,16,11,5,1530,6793,4,25,144,188,2405,24,1280,2,10,1139,0,16,11,5,1540,6827,4,25,144,187,2407,24,1284,2,12,1146,0,16,11,5,1560,6846,4,25,147,187,2402,23,1290,1,12,1146,0,16,11,5,1577,6868,4,25,145,187,2419,23,1292,1,13,1146,0,16,11,5,1581,6906,3,26,137,169,24,2438,23,1303,1,15,1143,0,16,11,5,1592,6934,3,26,137,169,24,2448,24,1307,1,15,1149,0,16,11,5,1599,6959,3,25,139,169,24,2454,24,1308,1,17,1147,0,16,11,5,1616,6967,3,25,136,169,24,2468,24,1306,1,18,1141,0,16,11,5,1620
"대구",4941,5,7,112,63,1725,17,873,0,2,871,0,8,9,8,1241,4966,5,7,110,64,1740,16,878,0,2,870,0,8,9,8,1249,4991,5,9,109,65,1754,15,880,0,2,871,0,8,9,8,1256,5001,5,10,108,64,1760,17,882,0,2,869,0,8,9,8,1259,5022,5,11,109,64,1775,17,880,0,2,872,0,8,9,8,1262,5043,5,11,109,64,1785,16,880,0,2,876,0,8,9,8,1270,5066,5,11,108,67,1799,16,881,0,3,877,0,8,9,8,1274,5083,5,11,109,69,1803,16,883,0,3,878,0,8,9,8,1281,5107,5,12,109,69,1809,16,884,0,3,875,0,8,9,8,1300,5128,5,12,109,72,1821,16,886,0,3,876,0,8,9,8,1303,5148,5,12,109,71,1829,16,886,0,6,872,0,8,9,8,1317,5154,5,12,109,71,1834,16,886,0,7,874,0,8,8,8,1316,5170,5,12,98,72,8,1845,15,887,0,9,878,0,8,8,8,1317,5213,5,12,91,74,16,1863,15,892,0,10,890,0,8,8,8,1321,5246,5,12,90,75,16,1880,15,900,0,10,897,0,8,8,8,1322,5237,5,13,88,74,16,1884,15,903,0,10,882,0,8,8,8,1323
"인천",4346,3,16,60,72,1506,6,890,3,22,641,0,10,27,27,1063,4366,3,16,58,71,1511,7,897,3,26,645,0,10,28,26,1065,4395,3,16,61,71,1521,7,902,2,26,648,0,10,27,26,1075,4404,3,16,62,72,1529,9,900,2,26,649,0,10,27,26,1073,4408,3,16,61,72,1540,9,897,2,26,648,0,10,27,26,1071,4446,3,16,62,73,1553,9,904,2,28,653,0,10,27,26,1080,4474,3,16,62,72,1564,9,906,2,32,652,0,10,27,26,1093,4497,3,16,62,71,1573,9,911,1,33,658,0,10,27,26,1097,4508,3,16,64,70,1573,9,913,1,32,657,0,10,27,26,1107,4536,3,16,65,70,1580,9,924,1,32,656,0,10,27,26,1117,4556,3,16,65,71,1588,9,924,1,32,657,0,10,27,26,1127,4579,3,16,68,70,1591,9,933,1,35,660,0,10,27,26,1130,4611,3,17,66,67,5,1606,9,937,1,36,662,0,10,27,26,1139,4637,3,17,63,67,9,1614,9,943,1,39,663,0,10,27,26,1146,4666,3,17,56,67,11,1625,9,951,1,42,671,0,10,27,26,1150,4683,3,17,56,67,16,1633,9,956,1,43,664,0,10,27,26,1155
"광주",2787,2,20,75,62,929,13,600,0,94,317,0,5,1,10,659,2788,2,20,74,63,931,12,605,0,89,319,0,5,1,10,657,2809,2,20,76,62,936,13,612,0,84,320,0,5,1,10,668,2809,2,20,78,64,933,13,614,0,87,318,0,5,1,10,664,2827,2,20,79,64,938,13,615,0,85,319,0,5,1,10,676,2845,2,21,78,65,949,13,621,0,84,321,0,5,1,10,675,2854,2,21,79,64,954,14,623,0,85,321,0,5,1,10,675,2852,2,21,80,66,948,14,625,0,85,323,0,5,1,10,672,2862,2,21,82,65,948,14,624,0,85,325,0,5,1,10,680,2883,2,22,82,65,960,14,631,0,84,320,0,5,1,10,687,2890,2,22,85,65,959,15,631,0,86,316,0,5,1,10,693,2888,2,22,85,64,958,15,629,0,84,318,0,5,1,10,695,2905,2,22,82,60,7,968,15,630,0,87,316,0,5,1,10,700,2912,2,22,83,59,7,972,15,630,0,86,319,0,5,1,10,701,2921,2,22,84,58,7,973,15,634,0,86,316,0,5,1,10,708,2911,2,21,84,59,7,970,15,635,0,88,313,0,5,1,10,701
"대전",2946,1,9,48,51,1056,6,511,1,7,513,0,5,7,8,723,2951,1,9,48,51,1053,6,521,1,6,510,0,5,7,8,725,2965,1,9,49,51,1060,6,524,1,6,511,0,5,6,8,728,2975,1,9,49,51,1068,6,523,1,6,512,0,5,6,8,730,2993,1,9,49,52,1078,6,527,1,6,516,0,5,6,8,729,2989,1,9,50,52,1077,6,527,1,6,511,0,5,6,8,730,2989,1,9,51,52,1077,6,530,1,7,507,0,5,6,8,729,2984,1,9,51,50,1078,6,530,1,7,505,0,5,6,8,727,3028,1,9,50,51,1091,6,532,1,8,503,0,5,6,8,757,3033,1,9,50,51,1087,6,536,1,10,505,0,5,6,8,758,3048,1,9,50,51,1093,6,539,1,11,505,0,5,6,8,763,3043,1,9,50,51,1090,6,539,1,12,504,0,5,6,8,761,3055,1,9,50,49,2,1098,6,541,1,12,507,0,5,6,8,760,3063,1,9,49,49,4,1102,6,541,1,12,507,0,5,6,8,763,3068,1,9,47,49,6,1103,6,541,1,13,508,0,5,6,8,765,3078,1,9,46,48,7,1112,6,547,1,14,505,0,5,6,8,763
"울산",1788,0,8,41,42,595,3,382,0,3,285,0,5,8,11,405,1787,0,8,41,43,599,3,379,0,3,284,0,5,8,11,403,1791,0,8,41,42,604,3,379,0,2,284,0,5,8,11,404,1791,0,8,41,42,604,3,381,0,2,283,0,5,8,11,403,1797,0,8,41,42,610,3,381,0,2,281,0,5,8,11,405,1791,0,8,43,42,607,3,380,0,2,275,0,5,8,11,407,1796,0,8,43,42,606,3,382,0,3,277,0,5,8,11,408,1801,0,8,43,42,609,4,383,0,3,275,0,5,8,11,410,1811,0,8,42,42,610,4,386,0,3,276,0,5,8,11,416,1817,0,9,41,43,610,4,387,0,3,278,0,5,8,11,418,1820,0,9,40,42,612,4,387,0,4,278,0,5,8,11,420,1825,0,9,38,41,614,4,389,0,5,278,0,5,8,11,423,1824,1,8,36,41,3,610,4,389,0,5,280,0,5,8,11,423,1827,1,8,33,41,6,612,4,388,0,5,281,0,5,8,11,424,1828,1,8,33,41,7,614,4,388,0,5,280,0,5,8,11,423,1832,1,8,33,41,7,618,4,388,0,5,276,0,5,8,11,427
"세종",444,0,0,1,7,160,1,76,0,0,69,0,1,10,7,112,453,0,0,1,7,164,1,76,0,0,73,0,1,10,7,113,463,0,0,0,7,170,1,79,0,0,72,0,1,10,7,116,465,0,0,0,6,171,1,80,0,1,73,0,1,10,7,115,477,0,0,1,6,179,1,80,0,1,75,0,1,10,7,116,484,0,0,2,6,182,1,82,0,1,75,0,1,10,7,117,489,0,1,1,6,183,1,83,0,1,75,0,1,10,7,120,491,0,1,0,6,181,1,85,0,1,76,0,1,10,7,122,510,0,1,1,6,185,1,87,0,2,80,0,1,10,7,129,524,0,2,1,6,190,1,89,0,3,83,0,1,10,7,131,533,0,2,2,6,189,1,88,0,3,81,0,1,10,7,143,539,0,2,2,6,190,1,91,0,4,82,0,1,10,7,143,551,0,2,1,5,1,195,1,92,0,4,83,0,1,10,7,149,550,0,2,1,5,1,195,1,92,0,3,84,0,1,10,7,148,551,0,2,1,5,1,197,1,91,0,3,83,0,1,10,7,149,558,0,2,1,5,1,198,1,96,0,3,82,0,1,10,7,151
"경기",19446,5,56,272,325,6650,35,3986,8,48,2997,1,45,125,161,4732,19575,5,56,268,330,6703,35,4024,8,50,3022,1,45,125,161,4742,19735,5,57,268,333,6769,36,4056,9,51,3050,1,45,125,160,4770,19851,5,58,265,336,6817,36,4082,7,51,3070,1,45,125,161,4792,20056,5,58,270,339,6899,37,4126,7,52,3099,1,45,124,161,4833,20223,5,58,272,340,6956,37,4168,7,58,3123,1,45,124,161,4868,20385,5,58,277,349,7027,37,4187,7,58,3134,1,45,124,161,4915,20491,5,59,277,345,7065,37,4204,7,65,3146,1,45,124,161,4950,20727,5,60,277,352,7127,37,4246,7,70,3143,1,45,124,161,5072,20875,5,61,286,349,7170,37,4260,7,81,3159,1,45,124,161,5129,21043,5,61,288,350,7220,37,4298,7,88,3176,1,45,124,161,5182,21151,5,62,288,349,7257,37,4331,7,89,3191,1,45,124,161,5204,21300,5,62,284,317,37,7319,37,4358,7,95,3200,1,47,121,161,5249,21500,5,62,280,319,47,7374,39,4412,7,98,3219,1,47,121,162,5307,21639,5,62,278,321,48,7441,39,4439,7,105,3235,1,47,120,162,5329,21784,5,62,277,319,51,7487,38,4481,6,112,3239,1,47,120,162,5377
"강원",2467,1,14,46,31,742,4,384,1,3,350,2,16,99,129,645,2478,1,14,45,32,747,4,386,0,2,353,2,16,98,129,649,2497,1,14,45,33,757,4,385,0,2,357,2,16,98,129,654,2497,1,14,45,33,761,4,382,0,2,354,2,16,97,129,657,2501,1,14,45,34,760,4,386,0,2,353,2,16,97,129,658,2505,1,14,45,33,762,4,386,0,1,356,2,16,97,129,659,2512,1,14,45,33,766,4,388,0,1,358,2,16,97,129,658,2519,1,14,45,32,769,4,388,0,1,362,2,16,97,129,659,2545,1,14,45,32,774,4,392,0,1,365,2,16,97,129,673,2554,1,14,45,30,776,4,396,0,1,362,2,16,97,129,681,2571,1,14,45,32,779,4,399,0,3,366,2,16,97,129,684,2578,1,14,45,32,779,4,401,0,3,368,2,16,97,129,687,2588,2,13,45,32,0,781,4,405,0,3,368,2,16,97,129,691,2597,2,13,36,33,8,777,4,414,0,3,368,2,16,97,129,695,2616,2,13,37,33,9,782,4,416,0,4,372,2,16,97,129,700,2619,2,13,37,34,9,782,4,416,0,5,376,2,16,97,129,697
"충북",2681,1,11,39,48,856,3,414,1,7,388,0,14,94,158,647,2689,1,11,39,51,860,3,415,1,6,392,0,14,94,158,644,2697,1,11,38,52,862,3,417,1,8,392,0,14,94,158,646,2704,1,12,39,52,865,3,417,1,8,393,0,14,94,158,647,2723,1,12,38,50,876,3,419,1,8,393,0,14,94,158,656,2740,1,12,37,52,880,4,423,1,7,400,0,14,95,158,656,2755,1,12,38,51,884,4,428,1,7,401,0,14,95,158,661,2769,1,12,37,49,891,4,431,1,7,403,0,14,95,158,666,2774,1,12,37,49,884,4,435,1,7,397,0,14,95,158,680,2792,1,12,39,49,891,4,437,1,7,398,0,14,95,158,686,2799,1,12,39,50,898,4,437,1,7,398,0,14,95,158,685,2803,1,12,38,51,897,4,442,1,7,399,0,14,95,158,684,2820,1,12,36,42,9,901,4,444,1,7,401,0,14,95,158,695,2842,1,12,38,43,9,905,4,452,1,9,406,0,14,95,159,694,2857,1,12,38,41,9,915,5,451,1,10,406,0,14,95,159,700,2863,1,12,37,41,10,912,4,458,1,11,409,0,14,95,159,699
"충남",3582,2,11,45,90,1059,11,534,0,6,523,2,14,150,234,901,3600,2,11,44,90,1067,11,537,0,6,525,2,14,151,234,906,3606,2,11,45,91,1064,11,543,0,5,524,2,14,151,234,909,3605,2,11,45,91,1062,11,548,0,5,521,2,14,151,234,908,3619,2,11,43,90,1069,11,553,0,6,520,2,14,151,234,913,3628,2,11,43,89,1071,11,554,0,7,521,2,14,151,234,918,3640,2,11,45,89,1077,11,556,0,7,518,2,14,151,234,923,3641,2,11,44,88,1074,11,560,0,11,517,2,14,151,234,922,3667,2,11,44,88,1072,11,561,0,11,519,2,14,151,234,947,3674,2,11,44,88,1083,11,560,0,11,514,2,14,151,234,949,3679,2,11,44,86,1088,11,561,0,11,509,2,14,151,234,955,3686,2,11,45,84,1089,11,565,0,10,513,2,14,151,235,954,3681,2,11,43,67,15,1090,11,567,0,10,514,2,14,151,235,949,3697,2,11,43,67,17,1089,11,572,0,10,519,2,14,151,235,954,3701,2,11,45,67,18,1090,11,573,0,11,514,2,14,151,235,957,3706,2,11,46,67,17,1094,11,576,0,12,510,2,14,151,235,958
"전북",3699,2,11,78,84,1146,3,556,0,26,498,4,10,149,241,891,3719,2,11,78,86,1149,3,564,0,29,502,4,10,149,241,891,3735,2,11,79,86,1149,3,568,0,28,510,4,10,149,242,894,3740,2,11,77,86,1153,3,573,0,29,509,4,10,149,242,892,3745,2,11,77,84,1157,3,577,0,29,506,4,10,149,242,894,3751,2,11,75,85,1157,3,582,0,28,507,4,10,149,242,896,3768,2,11,73,86,1160,3,585,0,30,509,4,10,149,242,904,3774,2,11,74,83,1165,3,588,0,30,505,4,10,149,242,908,3778,2,11,74,84,1159,3,584,0,30,503,4,10,148,239,927,3793,2,11,73,84,1165,3,586,0,31,505,4,10,148,238,933,3808,2,11,73,84,1171,3,589,0,31,504,4,10,148,238,940,3816,2,11,73,84,1172,3,592,0,31,505,4,10,148,238,943,3836,2,11,66,83,7,1178,3,594,0,32,506,4,10,148,239,953,3842,2,11,65,83,9,1180,3,594,0,32,507,4,10,148,239,955,3851,2,11,64,83,10,1187,3,592,0,32,508,4,10,148,239,958,3846,2,11,64,84,11,1179,3,592,0,32,509,4,10,148,239,958
"전남",3334,1,22,75,81,935,7,466,3,23,367,3,19,214,327,791,3350,1,23,76,82,939,7,468,2,23,376,3,19,214,327,790,3352,1,23,73,83,942,7,467,2,24,375,3,19,214,327,792,3367,1,23,74,84,943,7,469,2,24,377,3,19,214,327,800,3370,1,22,76,84,946,7,473,2,23,378,3,19,214,327,795,3387,1,22,77,87,944,7,480,2,24,377,3,19,214,327,803,3390,1,22,78,89,943,7,480,2,25,378,3,19,214,327,802,3389,1,22,78,90,944,7,482,1,25,373,3,19,214,327,803,3391,1,22,76,91,940,6,485,1,23,371,3,19,214,327,812,3405,1,23,79,89,939,6,490,1,25,372,3,19,214,327,817,3410,1,23,78,91,941,6,493,1,26,370,3,19,215,327,816,3408,1,22,79,90,940,6,493,1,26,370,3,19,215,327,816,3424,1,22,78,82,7,950,6,496,1,26,369,3,19,216,327,821,3445,1,23,75,82,9,959,6,497,1,26,375,3,19,216,327,826,3446,1,23,75,83,10,961,6,497,0,26,371,3,19,216,327,828,3450,1,24,74,82,10,962,6,498,0,26,369,3,19,216,327,833
"경북",4399,0,19,79,118,1270,15,647,1,4,624,2,23,223,311,1063,4425,0,20,78,119,1272,15,650,1,4,631,2,23,223,311,1076,4434,0,20,78,118,1282,14,649,1,4,631,2,23,223,311,1078,4441,0,20,76,120,1282,14,652,1,4,632,2,23,223,311,1081,4440,0,20,76,119,1277,14,659,1,5,634,2,23,223,311,1076,4454,0,20,76,119,1286,13,664,1,5,641,2,23,223,311,1070,4483,0,20,75,119,1292,13,671,1,6,646,2,23,223,311,1081,4474,0,20,74,117,1292,13,670,1,6,639,2,23,223,311,1083,4475,0,20,73,117,1285,13,672,1,6,638,2,23,223,311,1091,4493,0,20,73,117,1289,13,678,1,8,639,2,23,223,311,1096,4494,0,20,73,116,1291,13,678,1,8,638,2,23,223,311,1097,4485,0,20,73,117,1288,13,673,1,8,638,2,23,223,311,1095,4480,0,20,58,113,14,1287,13,673,1,8,636,2,23,223,311,1098,4486,0,20,53,113,23,1284,13,678,1,8,639,2,23,223,308,1098,4481,0,20,55,112,23,1282,13,673,1,7,641,2,23,223,308,1098,4472,0,20,55,113,24,1279,13,678,1,7,632,2,23,223,308,1094
"경남",5257,2,23,131,139,1608,19,870,1,9,801,1,19,173,222,1239,5257,2,23,130,140,1607,19,873,1,8,800,1,19,173,222,1239,5287,2,23,132,141,1617,20,874,1,8,806,1,19,173,222,1248,5310,2,23,139,144,1620,20,881,1,9,801,1,19,173,221,1256,5326,2,24,137,147,1628,20,888,1,9,795,1,19,173,221,1261,5350,2,24,138,146,1638,20,892,1,10,802,1,19,173,221,1263,5372,2,24,138,147,1645,20,893,1,12,804,1,19,173,221,1272,5364,2,24,138,145,1639,20,896,1,12,802,1,19,173,221,1271,5402,2,23,140,145,1646,20,900,1,12,805,1,19,174,221,1293,5420,2,23,141,148,1646,20,905,1,15,807,1,19,174,221,1297,5440,2,23,142,147,1656,20,911,1,15,808,1,19,174,221,1300,5449,2,23,140,148,1657,20,907,1,15,808,1,19,174,221,1313,5480,3,22,140,130,19,1666,20,912,1,17,811,1,19,174,221,1324,5488,3,23,132,129,24,1671,21,921,1,17,803,1,19,174,221,1328,5519,3,23,132,130,27,1680,21,928,1,18,803,1,19,174,221,1338,5529,3,23,134,128,27,1682,20,928,1,19,803,1,19,174,221,1346
"제주",1172,0,6,7,9,421,1,209,1,0,179,0,6,10,47,276,1184,0,6,7,9,424,1,210,1,0,186,0,6,10,47,277,1195,0,6,7,9,430,1,211,1,0,189,0,6,10,47,278,1200,0,6,7,9,436,1,212,1,0,185,0,6,11,47,279,1203,0,6,7,10,435,1,212,1,0,187,0,6,11,47,280,1219,0,6,7,10,437,1,216,1,0,189,0,6,11,47,288,1236,0,6,7,10,442,1,218,1,0,193,0,6,11,47,294,1245,0,6,7,10,448,1,218,1,0,193,0,6,11,47,297,1249,0,6,7,10,451,1,219,1,0,193,0,6,11,47,297,1254,0,6,7,10,452,1,220,1,0,192,0,6,11,47,301,1259,0,6,7,10,456,1,219,1,0,192,0,6,11,48,302,1263,0,6,7,10,456,1,219,1,1,194,0,6,11,48,303,1268,0,6,7,9,1,457,1,223,1,1,194,0,6,11,48,303,1274,0,6,7,9,1,459,1,226,1,1,194,0,6,11,48,304,1281,0,6,7,9,1,458,1,229,1,1,195,0,6,11,48,308,1283,0,6,7,9,1,463,1,229,1,1,195,0,6,11,48,305
