* 통계표명 :,평균전세가격_아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,평택시,,141052,139060,137799,136231,134478,133090,131506,130716,129575,128790,128269,127784,129444,129414,129160,128713,127833,127025,125173,124296,123735,123858,123500,123574,130588,131747,133599,135045,136125,137724,139509,141460,143057,143807,145091,146432,147057,149597,152705,155085,158233,162318,199850,202765,204094,205837,207604,208713
,동부1권,,,243497,242456,241953,240726,239116,237894,237188,236345,235972,235990,236412,235897,243525,242722,241849,241335,241454,241452,241280,241774,243085,244392,245850,247444,256988,257783,258908,260088,261552,265017,269702,275553,280693,283807,288020,293637,297670,301514,302792,303136,304048,306925,416682,423020,427870,431925,434544,435102
,,남양주시,,221099,220617,219975,219052,218306,217833,217536,217079,216598,216338,218344,218740,228200,227885,227458,226835,226566,226347,225920,225448,226070,225890,226048,226177,228734,229325,229285,229855,230473,231710,233812,238860,243312,246097,250710,255376,260118,266618,269231,270167,271866,275941,356152,362566,368181,374290,377246,378150
,,구리시,,282372,281174,280453,278209,275174,273116,271616,269837,269140,270686,270384,270628,270395,269756,269299,267256,266511,266766,266160,265574,264702,263298,263160,264149,274438,275594,279844,283875,285750,288458,291115,297479,303479,306375,309625,314281,316844,319396,320500,320979,321729,324302,419803,423745,426559,429755,431431,431521
,,하남시,,323867,320956,320944,319233,315989,313256,311467,309867,309978,309678,305978,301267,297157,294157,291139,291907,294037,294500,295407,300352,306306,315065,322935,330676,360944,362603,365134,366259,370069,379621,394466,406284,416172,422517,428362,439224,443862,442198,439397,436414,434759,435017,591137,601354,607681,610150,614168,614588
,,광주시,,194786,193940,193631,192893,191405,189976,189810,189369,189190,189000,188940,188988,202509,202527,202300,202209,202127,202045,201900,201436,201745,201945,201745,201536,206783,206842,207025,207475,208475,212667,215550,216283,217075,217558,219408,222742,225142,228167,230158,232458,234050,236442,349066,353076,356457,358553,359716,360102
,동부2권,,,136416,136461,136714,136986,137224,137610,137521,137387,137325,137262,137548,137336,141775,141560,140973,140203,139408,138991,138771,138640,138419,138150,137996,138006,147470,147680,147881,147912,148072,148502,148674,148633,148914,149091,149295,149905,150398,151329,152149,152967,153894,156086,175693,177685,180202,183243,186623,188910
,,이천시,,145036,145107,145464,145869,146250,146619,146286,145917,145679,145595,145976,145549,147189,146970,146129,145201,144250,143652,143409,143213,142957,142628,142476,142482,157185,157625,158226,158381,158696,159417,159726,159690,160155,160494,160875,161750,162381,163667,164786,165917,167143,170238,191358,194187,197594,201645,206552,210185
,,여주시,,111175,111175,111290,111367,111367,111406,111137,111060,111060,110790,110752,110290,110313,110006,109737,108971,108163,107856,107587,107423,107058,106683,106452,106356,106413,106279,105712,105577,105673,105721,105760,105808,105654,105394,105260,105394,105663,106052,106413,106740,107260,108048,133612,134388,135653,137353,138472,138654
,경의권,,,244896,244317,243862,243085,242031,241475,239983,238210,236999,237017,236735,235597,236149,235676,235380,234322,233620,232755,231701,230957,230717,230866,231356,232282,244556,245318,246225,246981,247512,248471,250639,252319,253834,255671,258635,264944,268964,273042,275400,276698,277780,280002,364881,370088,374874,379182,381436,382700
,,김포시,,222542,221875,221592,220483,218667,218333,217342,215508,215342,216617,217458,217325,221493,220901,220620,220261,219908,219570,219211,218986,219049,219162,219669,220190,237053,237325,237725,237563,237431,237456,238113,238300,238625,239031,240975,248913,250606,253438,254769,255500,255781,256113,337852,340693,345021,349547,351325,352533
,,고양시,,267106,266461,265882,265167,264102,263499,262364,260815,259778,259844,259676,258514,260585,260235,259809,258104,256978,255602,253934,252706,252184,252108,252431,253510,263850,264837,266056,267495,268632,270493,274252,277347,280091,283360,287883,294589,300399,305691,308891,310684,312168,315076,407046,413008,418554,423347,426173,427651
,,,덕양구,251091,250182,249553,249098,247553,247152,246682,246129,246856,248227,248977,248500,253590,253306,253269,252037,251313,250045,248888,248216,247813,247903,248440,249433,261199,262309,263618,265360,266478,268081,271706,275088,278522,282735,288449,297640,305596,311728,316162,318515,320426,324015,389321,395128,401921,406771,409647,411170
,,,일산동구,307206,306510,306294,305029,304147,302951,301853,299402,298235,297804,296588,294029,301370,300760,300110,298920,297940,296400,294470,293280,292620,292590,292590,294020,309221,310583,312230,313897,315588,318255,322304,325422,328000,331000,335490,341971,345902,350833,353863,355765,357549,359784,465794,472067,477579,483177,486691,488079
,,,일산서구,258444,258127,257365,256722,256071,255635,253738,251675,248762,247706,247206,246206,243290,243024,242298,239742,238073,236677,234597,232718,232145,231855,232137,233097,238429,239040,239889,240841,241651,243302,247032,249786,251849,254214,257405,261429,265976,270540,272444,273532,274341,276897,382693,388593,392793,396921,399179,400675
,,파주시,,199237,198958,198703,198085,197864,197220,194093,191686,188839,187390,185576,183458,183048,182363,182427,182403,182508,182484,182371,182403,182613,183460,184411,185379,201333,202106,202803,202864,202583,202265,202008,201720,201394,201136,201136,204280,206371,208720,210083,210750,211758,214515,276275,282144,285299,287959,289138,289857
,경원권,,,157586,157491,157409,157379,157229,156908,156665,156433,156298,156253,156098,155905,157867,157766,157565,157472,156977,156388,155973,155804,155925,156571,157221,157665,164311,164572,165024,164919,164775,164709,164980,165995,168132,170101,172523,174908,177027,181310,183027,184275,185368,189245,219481,222997,225529,228691,230008,229586
,,포천시,,104269,104106,103846,103625,103200,102910,102660,102477,102338,102219,101604,101281,106857,106746,106413,106265,105913,105691,105228,105144,104959,105080,105370,105370,103625,104018,104161,104232,104089,103991,104080,104277,104563,105036,105438,105714,106063,106750,107205,107705,108161,109545,123669,125320,126966,127856,128838,129403
,,동두천시,,112672,112438,112125,111984,111625,111422,111203,110906,110953,110875,110945,110930,110692,110742,110775,110742,110575,110558,110392,110125,110133,110600,110967,111200,116435,116839,117210,117129,116629,116347,116798,117298,117774,118452,118879,119234,119992,122210,124282,126153,127758,131081,148214,150505,152578,154015,154752,154717
,,양주시,,130811,130767,130767,130722,130411,129744,129256,128844,128356,128267,127978,127833,132175,132080,131680,130600,129420,128100,127020,126690,127000,128360,129630,130460,141019,141375,142125,141173,140702,139365,138808,139462,141404,142933,145077,147548,150721,154615,155260,156548,157644,160413,208576,213271,217887,223724,225467,225383
,,의정부시,,188288,188212,188174,188205,188220,188023,187886,187742,187727,187720,187644,187409,187196,187065,186935,187312,187058,186652,186514,186428,186529,186949,187413,187783,193764,193932,194301,194575,194658,195253,195921,197332,200154,202805,206041,209082,211212,216614,218977,220203,221295,226192,275289,278966,280582,283241,284568,283539
인천,,,,201951,201788,201579,201173,200553,200103,199610,198831,198701,198603,198616,198326,204218,203581,203100,202527,202212,201804,201617,201315,201704,202149,202777,203657,212832,214159,215971,218067,218789,219927,220478,221033,223050,225537,231027,236957,240858,244362,247888,251262,254537,260794,279165,283314,286804,290193,292502,293673
,중구,,,162857,163014,162971,162591,162214,161384,160290,158836,157476,155473,153613,151624,145943,144886,144215,142931,141847,140614,140357,140364,140626,141383,141807,142467,152494,153077,154577,155970,156113,156512,156738,158274,160952,164488,167631,169345,170637,173911,178213,180785,184011,186523,238115,238605,239010,239465,239655,239909
,동구,,,135750,135786,135714,135554,135339,134982,134679,134589,134589,134589,134500,134446,134241,134019,133704,133370,133074,132870,132815,132704,132778,132778,132778,132815,132352,131926,131722,132370,132704,132574,132444,132389,132759,133630,134574,135056,135407,135933,136330,137157,138194,140315,162684,163569,164402,165379,166280,166980
,남구,,,172280,172366,172194,172134,171970,171737,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,미추홀구,,,-,-,-,-,-,-,171591,171276,171371,171612,171871,171690,179403,178996,178640,177979,177458,177220,177161,176949,176822,176949,177127,177229,179035,179563,180875,184219,185203,185680,185523,186664,188570,191477,193539,195461,196828,198648,199617,201055,204063,206813,221283,223059,226599,230909,234209,236562
,연수구,,,266596,266566,266375,265882,265022,264559,263772,261654,261294,260331,259566,257846,272035,270188,269007,267542,266285,264354,263451,262375,263354,264208,265993,268090,280532,284519,288831,289416,288539,288571,289097,289312,293675,296578,311474,330649,340864,345851,347253,349773,353006,365792,408813,420232,430440,437681,443283,445795
,남동구,,,217123,216925,216678,216123,215514,214973,214514,214333,214532,214785,215203,215059,218247,217930,218025,217449,217329,217247,216557,215668,216095,216557,216804,217361,232088,232756,234269,236919,238797,240631,241031,240716,240594,242119,247219,251328,254444,258594,264888,268613,272244,278731,277483,280917,283232,286599,288351,288899
,부평구,,,204574,204419,204149,203892,203047,202804,202216,200919,200791,201095,201115,201243,200133,199507,198967,199373,199600,200280,200627,200800,201167,201320,201787,202340,203132,203849,205941,207836,208770,210921,212086,213158,214684,216151,219375,222862,225559,228382,232309,236086,239961,246303,270393,273713,276170,279009,280775,281993
,계양구,,,167338,167346,167198,166961,166713,166598,166451,166072,165834,165744,166031,166172,177133,177100,177025,176858,177075,176592,176763,176500,176433,176992,177642,178621,179421,180538,180929,182546,183654,184271,184404,184738,185188,186504,188879,190679,192338,194496,195946,198396,200854,205446,213130,217175,220126,223260,226060,227997
,서구,,,192365,191723,191470,190760,189902,189000,188473,188257,188196,188291,188628,188980,191558,191149,190442,189630,189364,189013,189130,189455,189987,190455,191000,192013,211031,212213,213346,216349,216988,218577,219590,220435,223910,228269,233022,237880,242034,246519,251941,257614,261059,265929,299165,302004,303559,305210,305669,305290
부산,,,,200896,200539,200118,199580,198728,197961,197280,196276,195827,195539,195173,194582,195215,194837,194384,193633,193043,192471,191715,191162,190673,190461,190392,191175,197063,197333,197327,197219,197111,197286,197714,198389,199399,200879,203919,210003,213999,216701,218376,219472,221326,224310,249237,250690,252042,254094,255476,256168
,중부산권,,,206329,205990,205511,204976,204211,203599,202819,202175,201759,201189,200756,200249,204117,203776,203461,203042,202645,202343,201820,201353,201007,200768,200711,201227,209647,210009,210112,209982,210002,210230,210702,211177,211942,213769,217001,222933,226671,229236,230048,230598,231635,234107,246939,248343,249458,251031,251997,252408
,,중구,,109133,109033,108867,108650,108277,107923,107690,107357,107157,106890,106717,106533,108125,107979,107792,107542,107375,107333,107292,107000,107000,107000,107000,107000,106708,107042,107042,106875,106875,106875,106875,106875,106875,106875,106875,107125,107167,107417,107417,107458,107542,107917,124513,124908,125513,126303,126947,127303
,,서구,,180341,180318,180295,179795,179511,179239,178875,178511,178352,177989,177648,177239,187898,187664,187050,186432,185909,185205,184773,184455,184273,184114,184011,184000,192177,192188,192083,191938,191875,191813,192500,192500,192458,193125,194375,197063,200188,202313,203104,204104,205104,205313,220389,221037,221488,222056,222710,223142
,,동구,,137250,137194,136889,136778,136631,136492,135825,135292,134989,134667,134406,133978,148668,148150,147794,148018,148076,147559,147029,146471,145853,145359,145065,145065,145422,145144,144950,144672,144506,144283,144228,144450,144450,144847,146069,147542,149097,150042,150486,150681,151042,151264,180935,182363,184323,185266,185610,185885
,,영도구,,134250,134196,134125,133948,133620,133225,132986,132771,132596,132436,132346,132177,149362,149319,149102,148629,148336,148190,148069,148060,147836,147819,147733,147733,148942,148908,148908,148842,148808,148842,148908,148908,148908,148942,149092,149217,149242,149425,149483,149533,149533,149817,136385,136798,137005,137341,137796,138288
,,부산진구,,191209,191136,190845,190645,189809,189436,188955,188573,188291,187782,187445,186991,190473,190241,189696,188973,188259,187804,187179,186741,186348,186214,186196,186152,194149,194281,194281,194175,194158,194123,194184,194175,194439,195342,197509,204079,207658,209982,211228,212263,213342,215833,217581,219671,220692,221952,222643,222969
,,남구,,221111,220156,218767,218078,217133,215656,213967,212678,211889,210911,210100,209233,217557,217341,217659,217614,217477,217409,216682,216273,216136,215841,215636,217398,238208,239365,239594,239406,239672,240734,242521,243813,246010,250344,255781,266302,274802,280719,280823,280729,281729,284177,315707,316825,317606,318498,318761,318895
,,연제구,,247400,247213,246884,245821,244909,243546,242771,242321,241996,241609,241209,240859,237301,236667,236387,236228,235899,235630,235460,234765,234445,233909,233957,234030,241262,241619,241810,241762,241732,241685,241756,242185,242565,243589,247756,253149,255506,257149,258792,260077,261804,267500,293347,295233,296688,300625,302370,303098
,,수영구,,253352,252784,252625,251818,251023,251773,251148,250239,249682,248955,248534,247977,240905,240270,239500,238811,238514,238243,237486,236797,236081,235919,235959,237149,234855,234987,235263,235079,234947,235132,235224,236158,237303,240355,244934,249092,250447,251421,252026,251842,252934,254461,300518,301901,304074,306259,308711,309292
,동부산권,,,228214,227525,226879,225976,224513,223152,222612,221431,220674,220405,219900,218850,215770,215245,214689,213625,212810,211963,210758,209983,209225,208813,208706,210425,214773,215084,214962,214824,214462,214514,214986,216089,217819,219625,223987,231984,236758,240030,242886,244280,247126,250885,296852,298902,300600,303262,305120,306082
,,해운대구,,250194,249468,248597,247419,245298,243250,242556,241718,241169,240790,239911,238161,232984,232548,232151,232000,231222,230175,229429,228198,227452,227373,227317,229683,236719,237273,236805,236430,235969,235867,236414,238031,240813,243102,249602,257875,263781,267914,271563,272922,277156,281133,338625,341085,343604,348261,351536,353316
,,금정구,,212950,212175,211400,210800,209888,209038,208413,207638,207150,207150,207225,206900,211363,211113,211025,210525,209338,208975,208225,207800,207113,206638,206338,207613,210061,210500,210841,211037,210939,211207,211683,212110,212756,213707,215378,222415,225085,227171,228512,229793,230293,233427,276614,278681,280061,282167,282710,282605
,,동래구,,245023,244455,244125,243455,242136,241125,240761,237977,236159,235545,234636,233500,227283,226141,224239,220435,219457,218293,215304,214761,213685,212750,212946,215109,215146,215292,215552,215615,215188,215646,216344,217240,218531,220323,224219,231188,234500,236823,239115,240667,241542,243167,297944,299282,299895,300015,300912,301604
,,기장군,,145750,145103,144853,144059,143824,143485,143279,143132,143118,143441,144103,144574,151513,151359,151872,151705,151500,151154,150833,150615,150237,149737,149237,148872,156805,156512,156207,156012,155707,155293,155189,155988,156744,158256,160585,170610,177073,180854,184220,185610,190512,197780,233045,235231,237138,239917,241754,242670
,서부산권,,,165185,165159,165050,164899,164597,164278,163568,162319,162163,162192,162054,161852,162261,161999,161490,160678,160098,159495,158942,158526,158154,158191,158149,158243,162228,162339,162324,162277,162289,162533,162858,163312,163838,164533,165893,170073,173533,175781,177225,178669,180440,183207,201909,202795,204110,206176,207631,208427
,,북구,,182321,182202,181975,181679,181113,180780,180040,178820,178565,178707,178433,178112,173980,173778,173076,172317,171635,171019,170635,170404,170288,170034,169769,169644,177792,177802,177821,177811,177792,178047,178325,178769,179410,180071,181514,186127,189882,192321,193538,194882,196090,198269,230159,230828,232076,233449,234836,235316
,,강서구,,231589,231402,231205,230884,230402,228920,226241,221384,220973,220777,220116,219759,215039,214008,212977,211555,210461,208680,206680,204852,203352,205742,205992,206742,217385,218000,218243,218311,218446,218838,219581,220682,221703,222757,225838,233216,237365,240135,243351,246878,251108,255176,297400,299092,302417,306367,308808,310085
,,사상구,,146322,146450,146538,146508,146377,146167,145912,145260,145371,145476,145685,145452,152362,152104,151651,150330,149532,148830,148258,147821,147726,147536,147452,147321,147000,147192,147052,146866,146750,147128,147465,147977,148209,148767,149535,152436,155180,156762,157831,158738,160314,163064,156911,157822,159203,161311,163077,164230
,,사하구,,142019,142029,141933,141894,141798,141740,141298,140615,140452,140375,140288,140269,141833,141731,141528,141176,140991,140810,140523,140347,139866,139657,139778,140046,138336,138327,138273,138241,138327,138423,138645,138855,139291,139991,141077,144595,148005,150327,151645,152841,154468,157386,159424,160097,160409,162178,162961,163556
대구,,,,206498,206675,206962,207246,207246,207170,207121,207403,207520,207870,208057,208231,210969,211079,211222,211288,211235,211194,211198,211379,211602,212334,213171,213787,220126,220899,221059,220999,221164,221567,221825,222454,223776,224972,227710,232153,235043,238430,241226,243220,245193,247226,280247,281005,281526,281741,281769,281518
,중구,,,240185,240185,241167,245944,246315,246056,245537,245481,245389,246241,247426,247611,257845,258707,261017,263500,264017,263707,263793,264310,264397,265224,266431,267069,287883,290850,292383,292383,292217,293083,293350,293067,293392,295933,301100,308617,313317,319217,323967,327817,331450,334067,368198,368703,368473,368110,366563,365167
,동구,,,177784,177612,177328,176724,176086,175776,175603,175595,175931,175862,175716,175552,181983,182333,183075,184642,185083,184917,184742,184575,184675,184942,185483,186058,196742,197899,198036,198246,198548,198710,198895,199379,200177,200427,201185,202742,204698,208613,211782,212863,214476,215742,231339,231750,231829,231608,231295,230783
,서구,,,162145,161984,161919,161823,161919,162419,162452,162484,162484,162484,162613,162677,163267,163250,163250,163250,163267,163383,163675,164125,164192,164467,164800,165283,166417,166958,167342,167408,167517,167742,167825,168433,169150,170083,171783,175183,178333,181767,183517,184450,186250,187483,214190,214775,214875,214805,214418,214122
,남구,,,171593,172185,172519,172667,172926,172926,172926,172963,172963,172963,172963,173037,185652,185795,185670,185688,185866,185866,186259,186384,186455,186491,186509,188643,197698,197750,197750,197741,197741,197776,197931,198103,198862,199655,200707,202397,204017,207224,210672,214086,215845,217672,258427,258421,258624,258815,258825,258756
,북구,,,173333,173063,172972,173049,172993,172986,173076,174826,175458,176326,176750,177090,182455,182513,182513,182221,182227,181935,181831,181773,181922,182188,182604,183260,192032,192224,192314,192250,192365,192782,192859,193468,194173,194545,195532,198487,200263,202776,205218,207609,209333,210705,232866,233360,233524,233574,233570,233336
,수성구,,,312887,313923,315077,315725,316120,315662,315732,315683,315704,316761,316782,317134,323281,323356,322808,321753,320808,320877,320226,319795,319390,320089,320993,321384,324068,324709,324534,324169,324581,324926,325392,326699,329959,332507,339473,347581,352986,358304,362264,365088,368696,373196,405313,407348,409358,410927,411882,412738
,달서구,,,198424,198500,198724,199000,199059,199265,199218,198953,198665,198382,198576,198741,202238,202320,202547,202698,202814,202930,203238,203837,204224,204872,205640,206076,208020,209178,209511,209486,209589,210095,210397,210954,212152,213649,216466,222241,224943,227730,229989,231282,232414,233816,287484,288010,288237,287946,287895,287043
,달성군,,,143166,143336,143518,143634,143422,143295,142983,143156,143415,143742,144002,144027,142595,142515,142756,142874,143019,143019,143544,144365,145552,147996,150105,151121,162859,163277,163383,163375,163367,163891,164180,164438,165145,165824,166973,168684,170723,172777,174832,176895,178652,180270,220611,221221,221763,222030,222123,222014
광주,,,,161223,161202,161276,161542,161616,161799,162026,162179,162404,162874,163095,163350,171219,171263,171279,171076,170812,170467,170096,169892,169754,169769,169800,169814,170959,171078,171204,171260,171293,171372,171480,171685,172179,172547,173509,176823,178339,179361,180161,180763,181286,182456,206400,207407,208256,209581,210920,211981
,동구,,,156661,156696,156946,156464,156875,157000,157179,157268,157214,157268,157393,157446,172904,172904,172949,172831,172603,172132,171765,171471,171338,171324,171412,171706,180095,180459,180730,180730,180595,180514,180676,180932,181554,181973,183223,187372,188926,190324,190946,191514,191980,193047,247906,248652,250286,251589,252554,253028
,서구,,,173227,173273,173508,173742,173750,174136,174462,174659,175083,175621,176197,176985,185045,185209,185284,185090,185097,184978,184828,184672,184522,184522,184560,184567,185618,185750,185926,186088,186206,186529,186750,186926,187257,187610,188434,190735,191949,192765,193279,193912,194493,195632,221720,222572,223602,224957,226708,227555
,남구,,,182827,182894,183144,183442,183827,184279,185288,186135,186962,187962,188038,188327,204709,204627,204636,204464,204218,203764,203364,202818,202327,202082,202059,201864,201848,201893,202313,202263,202371,202438,202518,202732,203362,203835,205125,210375,212420,213232,214491,215357,216170,218018,231000,231680,232336,233329,234068,235257
,북구,,,140927,140747,140653,140727,140573,140613,140613,140500,140513,140713,140947,141013,148844,148894,148989,148964,148558,148463,148272,148144,148131,148163,148175,148256,149604,149726,149756,149860,149866,149945,150030,150216,150674,150899,151405,152631,153771,154724,155479,155857,156137,157088,171199,172324,172795,173908,175012,175981
,광산구,,,162910,162951,162958,163556,163722,163764,163764,163826,163847,164347,164347,164375,167115,167128,167007,166568,166223,165493,164757,164622,164534,164679,164743,164750,165320,165420,165433,165413,165400,165313,165360,165597,166170,166647,168010,173337,175243,176550,177430,178130,178737,179847,200394,201714,202666,204419,206175,207643
대전,,,,165169,165518,165716,165491,164803,164358,164389,164401,164437,164761,165266,165482,175890,176138,176210,176223,176437,176644,176844,177592,178630,179268,180506,181928,190726,192999,195539,196299,197075,200199,202310,205211,208436,211276,214683,221091,227372,231766,234558,237310,239358,242538,262881,265632,267910,270396,271623,271538
,동구,,,130807,131102,131443,131591,131432,131523,131614,131670,131693,131625,131477,131489,139326,139186,138651,138186,138709,139209,139442,140337,141953,143593,144988,145267,171565,173179,174701,176918,177989,180163,181326,183174,184065,185500,186641,188717,190924,193424,195000,197457,199446,202250,198141,200959,203197,205879,208453,209671
,중구,,,135408,135510,135571,135633,135571,135612,135735,135816,135837,136051,136316,136643,138823,139594,139979,140375,141844,142698,143031,143396,144927,145688,147250,149313,154643,155929,157418,158000,158704,161092,163735,165867,167551,169398,171281,174015,177148,180510,183730,186327,188173,191153,243476,247063,250660,254097,256068,257124
,서구,,,177963,178408,178508,178504,178439,177694,177475,177574,177492,177965,178520,178498,188368,188736,188868,188819,188438,188243,188431,189698,191462,192087,193615,195767,199342,202322,206295,206945,207993,211527,213582,216966,220007,223041,226637,231671,235747,239856,243226,246171,248432,251315,290474,293210,294935,296535,296706,295648
,유성구,,,203694,204226,204685,203661,201089,200347,200597,200540,200774,201500,202589,203323,218250,218280,218386,218515,218826,219152,219394,219977,219962,220379,221386,222424,236243,239366,241754,242119,242590,246910,249552,253373,259970,264604,270687,285239,300612,308134,310896,314269,316522,321090,340063,342120,344196,347046,348069,347312
,대덕구,,,121726,121780,121732,121768,121845,121690,121810,121560,121560,121146,121289,121173,131331,131409,131456,131392,131188,131167,131089,130964,130823,130740,130979,131375,131771,132010,133026,133552,133922,135151,136604,138177,139156,140307,141776,144078,145672,147464,149344,150625,151875,153531,162487,165375,167602,169957,171406,171738
울산,,,,176537,175605,174745,173590,171532,170003,167901,165646,164091,162424,160672,158950,158351,157409,156345,155083,154109,153360,152681,152088,151851,152273,153013,153995,158509,160018,161331,162274,162829,164250,166758,169518,173405,176956,181190,190324,195724,199112,201407,202839,204450,207591,224226,226715,228625,231002,233248,234408
,중구,,,207138,206150,204725,203313,201100,200050,197800,195238,193388,191863,189738,187588,191216,189905,187946,186054,183919,182689,181230,181000,180905,181284,182027,182865,185691,187599,189138,189520,190007,191388,194434,198184,202914,207000,212283,221711,228842,235164,238717,241882,244500,248678,252068,253593,254817,256839,258089,258918
,남구,,,215250,214481,213648,212935,210954,209574,207296,205120,203694,202130,200083,198343,190163,189240,188490,187505,186870,186351,186274,186106,186192,186500,187125,188356,191915,193208,194594,195245,195519,197509,201113,204792,211094,217028,223189,235858,241462,244679,247679,248755,249755,253509,283154,285329,286922,290444,293443,295370
,동구,,,146813,145979,145500,144125,141677,139333,136938,134615,133094,131073,129417,127781,142745,141991,141136,140018,139659,139509,138845,137809,136773,137095,137932,138932,140909,142077,142882,143664,143977,144723,145695,146123,147232,149114,151614,159005,165000,165925,165985,166095,166528,167786,165250,168209,170301,171932,174249,174491
,북구,,,139709,137826,136500,134971,132221,130062,127883,125233,123299,121264,119460,117662,120779,119605,118444,116817,115608,114481,113356,112644,112587,113452,114490,115928,125009,126763,128379,129759,130915,132772,134866,137196,140152,142647,145964,151879,156518,160170,161643,163223,165210,167554,214888,217885,220912,222880,225230,226138
